city,country,temperature_celsius,feels_like_celsius,humidity_percent,weather_condition,weather_description,wind_speed_mps,recorded_at_utc
Abuja,NG,23.72,24.6,94,Rain,Light Rain,1.1,2026-08-29 20:32:07+00:00
Accra,GH,25.23,25.98,83,Rain,Light Rain,5.66,2026-08-29 20:32:01+00:00
Addis Ababa,ET,14.49,14.29,88,Clouds,Broken Clouds,3.09,2026-08-29 20:32:00+00:00
Algiers,DZ,24.9,25.48,78,Clouds,Few Clouds,0.51,2026-08-29 20:31:55+00:00
Antananarivo,MG,11.98,11.37,82,Clouds,Overcast Clouds,4.12,2026-08-29 20:32:04+00:00
Asmara,ER,19.26,18.89,63,Clear,Clear Sky,1.02,2026-08-29 20:32:00+00:00
Bamako,ML,30.23,35.6,70,Clouds,Broken Clouds,1.54,2026-08-29 20:32:05+00:00
Bangui,CF,25.1,26.12,94,Clouds,Broken Clouds,1.03,2026-08-29 20:31:57+00:00
Bissau,GW,27.06,30.8,89,Rain,Moderate Rain,1.03,2026-08-29 20:32:02+00:00
Brazzaville,CG,23.2,23.74,83,Clouds,Few Clouds,1.03,2026-08-29 20:31:58+00:00
Cairo,EG,26.42,26.42,57,Clear,Clear Sky,6.17,2026-08-29 20:31:59+00:00
City of Banjul,GM,28.18,35.1,94,Rain,Light Rain,2.57,2026-08-29 20:32:01+00:00
Conakry,GN,26.05,26.05,86,Rain,Moderate Rain,4.22,2026-08-29 20:32:02+00:00
Dakar,SN,29.03,34.82,80,Clouds,Scattered Clouds,5.45,2026-08-29 20:32:05+00:00
Djibouti,DJ,32.83,32.23,33,Clouds,Few Clouds,4.72,2026-08-29 20:31:59+00:00
Dodoma,TZ,19.14,18.65,59,Clouds,Scattered Clouds,5.95,2026-08-29 20:31:21+00:00
Freetown,SL,25.04,25.92,89,Rain,Light Rain,3.23,2026-08-29 20:32:08+00:00
Gaborone,BW,14.95,13.57,41,Clear,Clear Sky,3.09,2026-08-29 20:31:56+00:00
Gitega Province,BI,20.38,19.52,40,Clouds,Broken Clouds,1.12,2026-08-29 20:31:56+00:00
Harare,ZW,13.3,12.3,62,Clear,Clear Sky,2.64,2026-08-29 20:32:12+00:00
Juba,SS,24.89,24.35,35,Clouds,Scattered Clouds,1.31,2026-08-29 20:32:09+00:00
Kampala,UG,19.3,19.17,72,Clouds,Scattered Clouds,1.83,2026-08-29 20:32:11+00:00
Khartoum,SD,37.26,37.06,26,Clouds,Few Clouds,6.09,2026-08-29 20:32:10+00:00
Kigali,RW,23.18,22.55,38,Clouds,Broken Clouds,2.57,2026-08-29 20:32:07+00:00
Kinshasa,CD,23.21,23.75,83,Clouds,Few Clouds,1.03,2026-08-29 20:31:58+00:00
Libreville,GA,26.01,26.01,78,Clouds,Overcast Clouds,3.09,2026-08-29 20:32:01+00:00
Lilongwe,MW,18.11,17.86,72,Clouds,Scattered Clouds,4.63,2026-08-29 20:32:04+00:00
Lomé,TG,25.09,26.11,94,Rain,Light Rain,6.69,2026-08-29 20:32:10+00:00
Luanda,AO,22.0,22.42,83,Clouds,Broken Clouds,4.12,2026-08-29 20:31:55+00:00
Lusaka,ZM,15.14,14.46,67,Clear,Clear Sky,2.57,2026-08-29 20:32:11+00:00
Malabo,GQ,24.94,25.87,91,Clouds,Overcast Clouds,1.61,2026-08-29 20:31:59+00:00
Maputo,MZ,19.42,19.51,80,Clear,Clear Sky,4.72,2026-08-29 20:32:06+00:00
Maseru,LS,13.09,11.55,42,Clouds,Scattered Clouds,1.67,2026-08-29 20:32:03+00:00
Mbabane,SZ,11.01,9.63,56,Clouds,Broken Clouds,2.54,2026-08-29 20:32:00+00:00
Mogadishu,SO,24.82,25.66,88,Clouds,Overcast Clouds,7.35,2026-08-29 20:32:09+00:00
Monrovia,LR,24.96,25.78,87,Rain,Light Rain,3.58,2026-08-29 20:31:47+00:00
Moroni,KM,24.32,24.92,81,Clouds,Few Clouds,1.3,2026-08-29 20:31:58+00:00
N'Djamena,TD,29.98,35.99,74,Clouds,Few Clouds,2.57,2026-08-29 20:31:57+00:00
Nairobi,KE,15.62,14.88,63,Clouds,Broken Clouds,1.54,2026-08-29 20:30:00+00:00
Niamey,NE,33.16,39.21,58,Clouds,Broken Clouds,2.06,2026-08-29 20:32:06+00:00
Nouakchott,MR,28.96,33.8,76,Clouds,Few Clouds,7.58,2026-08-29 20:28:56+00:00
Ouagadougou,BF,29.07,35.85,84,Clear,Clear Sky,2.06,2026-08-29 20:31:56+00:00
Port Louis,MU,20.23,20.21,73,Clouds,Broken Clouds,8.59,2026-08-29 20:32:05+00:00
Porto-Novo,BJ,25.9,26.77,85,Clouds,Overcast Clouds,4.41,2026-08-29 20:31:55+00:00
Praia,CV,28.3,31.11,69,Clouds,Scattered Clouds,5.66,2026-08-29 20:31:57+00:00
Pretoria,ZA,16.06,14.66,36,Clouds,Scattered Clouds,1.54,2026-08-29 20:32:09+00:00
Rabat,MA,22.04,22.75,94,Clear,Clear Sky,0.0,2026-08-29 20:32:06+00:00
São Tomé,ST,28.02,31.84,78,Clouds,Overcast Clouds,5.14,2026-08-29 20:32:07+00:00
Tripoli,LY,31.92,36.3,58,Clear,Clear Sky,0.0,2026-08-29 20:30:02+00:00
Tunisia,TN,32.5,33.85,44,Clear,Clear Sky,5.08,2026-08-29 20:32:11+00:00
Victoria,SC,25.59,26.24,78,Clouds,Broken Clouds,8.75,2026-08-29 20:30:06+00:00
Windhoek,NA,15.27,13.71,33,Clear,Clear Sky,2.57,2026-08-29 20:32:06+00:00
Yamoussoukro,CI,22.24,23.08,98,Clouds,Overcast Clouds,1.31,2026-08-29 20:32:02+00:00
Yaoundé,CM,20.32,20.99,99,Clouds,Overcast Clouds,2.07,2026-08-29 20:31:57+00:00
